"Show keyword";"prompt"
"amelia_campus_exterior";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, standing outside Plymouth University. The campus exterior is bustling with students, surrounded by greenery and historic buildings. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's sense of anticipation and excitement for the day ahead."
"amelia_hawthorne_office";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, standing in Professor Hawthorne's office. Prof. Hawthorne is in his mid-40s, with graying hair and glasses. The office is lined with bookshelves and academic decor, creating an intellectual atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, focusing on Amelia and Prof. Hawthorne's engaging interaction."
"amelia_hawthorne_excited_office";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, showing excitement in Professor Hawthorne's office. Prof. Hawthorne is in his mid-40s, with graying hair and glasses. The office is filled with books and academic decor. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's enthusiastic expression as she converses with Prof. Hawthorne."
"amelia_hawthorne_hesitant_office";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, expressing hesitation in Professor Hawthorne's office. Prof. Hawthorne is in his mid-40s, with graying hair and glasses. The office is lined with bookshelves and academic decor. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, focusing on Amelia's thoughtful expression as she discusses her concerns with Prof. Hawthorne."
"amelia_hawthorne_discussing_project";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, discussing a project with Professor Hawthorne. Prof. Hawthorne is in his mid-40s, with graying hair and glasses. The office is filled with academic materials and bookshelves. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged discussion about the research project."
"amelia_hawthorne_accepting_project";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, accepting a project offer from Professor Hawthorne. Prof. Hawthorne is in his mid-40s, with graying hair and glasses. The office has an academic atmosphere with books and scholarly decor. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, focusing on Amelia's enthusiastic acceptance."
"amelia_hawthorne_considering_project";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, considering a project offer from Professor Hawthorne. Prof. Hawthorne is in his mid-40s, with graying hair and glasses. The office is filled with academic decor and books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful consideration."
"amelia_hawthorne_inspired_office";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, feeling inspired in Professor Hawthorne's office. Prof. Hawthorne is in his mid-40s, with graying hair and glasses. The office is lined with bookshelves and academic decor. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, focusing on Amelia's inspired expression as she listens to Prof. Hawthorne's advice."
"amelia_simmons_lecture_hall";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, attending a lecture by Dr. Simmons in a lecture hall. Dr. Simmons has fair skin and short hair. The lecture hall is spacious with rows of seats and a large screen. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's attentive expression as she listens to the lecture."
"amelia_simmons_talking_lecture_hall";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, talking to Dr. Simmons after a lecture. Dr. Simmons has fair skin and short hair. The lecture hall is large and academic, with rows of seats and a big screen. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, focusing on Amelia's engaged conversation with Dr. Simmons."
