chapter;show keyword;characters;environment;artstyle;ai prompt;prompt format template
2_call_to_adventure.rpy;show amelia_room_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, soft evening light);Semi-realistic;A thoughtful 18-year-old girl named Amelia stands in her cozy dorm room. She has fair skin, long brown hair, and blue eyes. She is wearing casual clothes, looking deep in thought. The room has posters on the walls, a desk with books, and is softly lit by evening light. Watercolor art style.;A [character age]-year-old [character description] stands in [environment]. They are wearing [clothes] and [emotion]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_family_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Family (parents, warm expressions, casual clothes);Living room (cozy, family photos, warm lighting);Semi-realistic;An 18-year-old girl named Amelia is with her family in the cozy living room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The family has warm expressions, and they are wearing casual clothes. The living room has family photos and warm lighting. Watercolor art style.;A [character age]-year-old [character description] with family in [environment]. They are wearing [clothes] and [emotion]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_family_conversation_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Parents (warm expressions, casual clothes);Living room (cozy, family photos, warm lighting);Semi-realistic;An 18-year-old girl named Amelia is having a heartfelt conversation with her parents in the cozy living room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The parents have warm expressions and are wearing casual clothes. The living room has family photos and warm lighting. Watercolor art style.;A [character age]-year-old [character description] having a heartfelt conversation with parents in [environment]. They are wearing [clothes] and [emotion]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_family_advice_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Parents (thoughtful expressions, casual clothes);Living room (cozy, family photos, warm lighting);Semi-realistic;An 18-year-old girl named Amelia is receiving practical advice from her parents in the cozy living room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The parents have thoughtful expressions and are wearing casual clothes. The living room has family photos and warm lighting. Watercolor art style.;A [character age]-year-old [character description] receiving practical advice from parents in [environment]. They are wearing [clothes] and [emotion]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_packing_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, open suitcase on bed);Semi-realistic;An 18-year-old girl named Amelia is packing in her cozy dorm room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and an open suitcase on the bed. Watercolor art style.;A [character age]-year-old [character description] packing in [environment]. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_study_materials_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, open suitcase on bed);Semi-realistic;An 18-year-old girl named Amelia is reviewing her study materials in her cozy dorm room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and an open suitcase on the bed. Watercolor art style.;A [character age]-year-old [character description] reviewing study materials in [environment]. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_sentimental_item_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, open suitcase on bed);Semi-realistic;An 18-year-old girl named Amelia is packing sentimental items in her cozy dorm room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and an open suitcase on the bed. Watercolor art style.;A [character age]-year-old [character description] packing sentimental items in [environment]. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_farewell_party_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Family and friends (happy expressions, casual clothes);Living room (decorated for party, balloons, streamers, snacks on table);Semi-realistic;An 18-year-old girl named Amelia is surprised by a farewell party in her cozy living room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. Her family and friends have happy expressions and are wearing casual clothes. The living room is decorated for a party with balloons, streamers, and snacks on the table. Watercolor art style.;A [character age]-year-old [character description] surprised by a farewell party in [environment]. They are wearing [clothes] and [emotion]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_train_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Train (window seat, scenery passing by);Semi-realistic;An 18-year-old girl named Amelia is on a train, looking out the window at the passing scenery. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes and looks thoughtful. The train has a window seat with scenery passing by. Watercolor art style.;A [character age]-year-old [character description] on a train, looking out the window at [environment]. They are wearing [clothes] and [emotion]. The train has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_talking_student_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Student (same age, dark skin, short curly hair, wearing a hoodie and jeans);Train (window seat, scenery passing by);Semi-realistic;An 18-year-old girl named Amelia is talking to another student on the train. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The student has dark skin, short curly hair, and is wearing a hoodie and jeans. They are sitting on a train with a window seat, and the scenery is passing by. Watercolor art style.;A [character age]-year-old [character description] talking to another student on a train, looking out the window at [environment]. They are wearing [clothes]. The train has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_discuss_academics_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Student (same age, dark skin, short curly hair, wearing a hoodie and jeans);Train (window seat, scenery passing by);Semi-realistic;An 18-year-old girl named Amelia is discussing academic interests with another student on the train. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The student has dark skin, short curly hair, and is wearing a hoodie and jeans. They are sitting on a train with a window seat, and the scenery is passing by. Watercolor art style.;A [character age]-year-old [character description] discussing academic interests with another student on a train, looking out the window at [environment]. They are wearing [clothes]. The train has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_discuss_background_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Student (same age, dark skin, short curly hair, wearing a hoodie and jeans);Train (window seat, scenery passing by);Semi-realistic;An 18-year-old girl named Amelia is discussing personal backgrounds with another student on the train. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The student has dark skin, short curly hair, and is wearing a hoodie and jeans. They are sitting on a train with a window seat, and the scenery is passing by. Watercolor art style.;A [character age]-year-old [character description] discussing personal backgrounds with another student on a train, looking out the window at [environment]. They are wearing [clothes]. The train has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_reflect_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Train (window seat, scenery passing by);Semi-realistic;An 18-year-old girl named Amelia is reflecting quietly while looking out the window of a train. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes and looks thoughtful. The train has a window seat with scenery passing by. Watercolor art style.;A [character age]-year-old [character description] reflecting quietly on a train, looking out the window at [environment]. They are wearing [clothes] and [emotion]. The train has [environment details]. [Artstyle] art style.
