enlightenment_ending.rpy;show room_anticipation_scent; The air in the room grows heavy with anticipation and the scent of the alchemical ingredients. The room is dimly lit with various alchemical equipment and ingredients laid out. Amelia, an 18-year-old girl with fair skin, long brown hair, and blue eyes, is wearing casual clothes and focused on her work. The atmosphere is filled with a sense of anticipation and mystery. Semi-realism art style - Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000): Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF): 16:9 format.
enlightenment_ending.rpy;show amelia_focus_transformation; An 18-year-old girl named Amelia concentrating deeply in her room, focusing on her alchemical work. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room is dimly lit with a desk lamp, and you can see various alchemical ingredients and equipment. Semi-realism art style - Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000): Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF): 16:9 format.
enlightenment_ending.rpy;show amelia_working_diligently; An 18-year-old girl named Amelia working diligently in her room on an alchemical process. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room is dimly lit with a desk lamp, and you can see various alchemical ingredients and equipment. Semi-realism art style - Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000): Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF): 16:9 format.
enlightenment_ending.rpy;show process_complete; An 18-year-old girl named Amelia standing proudly in her room after completing an alchemical process. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room is dimly lit with a desk lamp, and you can see various alchemical ingredients and equipment. Semi-realism art style - Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000): Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF): 16:9 format.
enlightenment_ending.rpy;show amelia_no_immediate_change; An 18-year-old girl named Amelia standing in her room, looking puzzled and contemplative, not noticing any immediate change within herself. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room is dimly lit with a desk lamp, and you can see various alchemical ingredients and equipment. Semi-realism art style - Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000): Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF): 16:9 format.
enlightenment_ending.rpy;show amelia_culmination_of_journey; An 18-year-old girl named Amelia reflecting deeply in her room, realizing the culmination of her journey. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room is dimly lit with a desk lamp, and you can see various alchemical ingredients and equipment. Semi-realism art style - Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000): Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF): 16:9 format.
enlightenment_ending.rpy;show amelia_doesnt_feel_different; An 18-year-old girl named Amelia looking confused and introspective, not feeling any different after completing her journey. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room is dimly lit with a desk lamp, and you can see various alchemical ingredients and equipment. Semi-realism art style - Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000): Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF): 16:9 format.
enlightenment_ending.rpy;show amelia_wandering_streets; An 18-year-old girl named Amelia wandering through the streets, lost in thought about her journey and the stone's potential. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The streets are dimly lit, with a mix of modern buildings and an air of mystery. Mix of Comic Book and Semi-realism art style - Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000): Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF): 16:9 format.
enlightenment_ending.rpy;show mysterious_woman_talking; A mysterious woman with middle-long gray hair speaking serenely to Amelia in a modern, vibrant garden with a fountain. The atmosphere is peaceful and filled with wisdom. Mix of Comic Book and Semi-realism art style - Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000): Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF): 16:9 format.
enlightenment_ending.rpy;show amelia_reflecting_journey; An 18-year-old girl named Amelia reflecting on her journey in a serene garden. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The garden is vibrant with flowers and a fountain. Mix of Comic Book and Semi-realism art style - Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000): Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF): 16:9 format.
